"age_binned" "mean" "startTime" "endTime"
"469" "(12,24]" 0.0237105869072563 -250 1800
"470" "(24,36]" 0.0278309735838243 -250 1800
"471" "(36,48]" 0.0534617168444042 -250 1800
"472" "(48,60]" 0.0189709193444035 -250 1800
"473" "(12,24]" 0.0262209008594171 -250 1850
"474" "(24,36]" 0.0301253783619738 -250 1850
"475" "(36,48]" 0.0556428501414893 -250 1850
"476" "(48,60]" 0.0231035806243782 -250 1850
"477" "(12,24]" 0.0289898724730534 -250 1900
"478" "(24,36]" 0.0328150433709748 -250 1900
"479" "(36,48]" 0.0547105787319837 -250 1900
"480" "(48,60]" 0.0263991058461941 -250 1900
"481" "(12,24]" 0.0291276749669301 -250 1950
"482" "(24,36]" 0.0326121586860653 -250 1950
"483" "(36,48]" 0.0507007434724935 -250 1950
"484" "(48,60]" 0.0298834789945586 -250 1950
"485" "(12,24]" 0.0350510507914234 -250 2000
"486" "(24,36]" 0.0349139487914917 -250 2000
"487" "(36,48]" 0.0506099183157298 -250 2000
"488" "(48,60]" 0.0351445341083812 -250 2000
"489" "(12,24]" 0.0320707091516691 -250 2050
"490" "(24,36]" 0.0336923554410131 -250 2050
"491" "(36,48]" 0.051194330769341 -250 2050
"492" "(48,60]" 0.0359538042273061 -250 2050
"493" "(12,24]" 0.0327815592601859 -250 2100
"494" "(24,36]" 0.0346449741390597 -250 2100
"495" "(36,48]" 0.0532609682264214 -250 2100
"496" "(48,60]" 0.0361077170814186 -250 2100
"497" "(12,24]" 0.0314843666923901 -250 2150
"498" "(24,36]" 0.0362218027747876 -250 2150
"499" "(36,48]" 0.054080158518417 -250 2150
"500" "(48,60]" 0.03473385931632 -250 2150
"501" "(12,24]" 0.0293362586472857 -250 2200
"502" "(24,36]" 0.0356122671231027 -250 2200
"503" "(36,48]" 0.0561706238601472 -250 2200
"504" "(48,60]" 0.0395252167278858 -250 2200
"505" "(12,24]" 0.029150270556895 -250 2250
"506" "(24,36]" 0.039878008982802 -250 2250
"507" "(36,48]" 0.0582424854728157 -250 2250
"508" "(48,60]" 0.0408181200497733 -250 2250
"509" "(12,24]" 0.026486434215197 -250 2300
"510" "(24,36]" 0.0405066955199269 -250 2300
"511" "(36,48]" 0.0604984933957867 -250 2300
"512" "(48,60]" 0.0405608293090786 -250 2300
"513" "(12,24]" 0.0287405400143491 -250 2350
"514" "(24,36]" 0.0425085653482031 -250 2350
"515" "(36,48]" 0.0605468764956268 -250 2350
"516" "(48,60]" 0.0377868098051589 -250 2350
"517" "(12,24]" 0.0301617244961687 -250 2400
"518" "(24,36]" 0.0457960100489822 -250 2400
"519" "(36,48]" 0.063127082744991 -250 2400
"520" "(48,60]" 0.0360111232774873 -250 2400
"521" "(12,24]" 0.0288919376246549 -250 2450
"522" "(24,36]" 0.0467367266264863 -250 2450
"523" "(36,48]" 0.063643682318848 -250 2450
"524" "(48,60]" 0.0349061049232757 -250 2450
"525" "(12,24]" 0.0290254995629329 -250 2500
"526" "(24,36]" 0.0477457091127669 -250 2500
"527" "(36,48]" 0.0661956282807805 -250 2500
"528" "(48,60]" 0.0333539267608657 -250 2500
"529" "(12,24]" 0.01886066615957 -250 2550
"530" "(24,36]" 0.0505425573563165 -250 2550
"531" "(36,48]" 0.0675240392140768 -250 2550
"532" "(48,60]" 0.0315123606832865 -250 2550
"533" "(12,24]" 0.0193571717735419 -250 2600
"534" "(24,36]" 0.0511617172589483 -250 2600
"535" "(36,48]" 0.071680905424292 -250 2600
"536" "(48,60]" 0.031172000810198 -250 2600
"537" "(12,24]" 0.0227273582745439 -250 2650
"538" "(24,36]" 0.0529990411779124 -250 2650
"539" "(36,48]" 0.0727115354060254 -250 2650
"540" "(48,60]" 0.0320133408709484 -250 2650
"541" "(12,24]" 0.02326267163294 -250 2700
"542" "(24,36]" 0.0535002737240979 -250 2700
