"","age_binned","mean","startTime","endTime"
"357","(12,24]",0.025056368476561,-300,2225
"358","(24,36]",0.047447271682116,-300,2225
"359","(36,48]",0.0687297541941367,-300,2225
"360","(48,60]",0.0647872435545698,-300,2225
"361","(12,24]",0.0246419886907492,-300,2250
"362","(24,36]",0.0480180936927412,-300,2250
"363","(36,48]",0.0702740031981929,-300,2250
"364","(48,60]",0.0665984578818194,-300,2250
"365","(12,24]",0.0251452729811663,-300,2275
"366","(24,36]",0.0483703051233638,-300,2275
"367","(36,48]",0.0727431045405705,-300,2275
"368","(48,60]",0.0670152371579182,-300,2275
"369","(12,24]",0.0255133673958056,-300,2300
"370","(24,36]",0.0487130005136303,-300,2300
"371","(36,48]",0.0739550093982206,-300,2300
"372","(48,60]",0.0674374746546688,-300,2300
"373","(12,24]",0.0259268951692064,-300,2325
"374","(24,36]",0.0495326579436518,-300,2325
"375","(36,48]",0.0748769951888281,-300,2325
"376","(48,60]",0.0672617010755318,-300,2325
"377","(12,24]",0.0267014530964923,-300,2350
"378","(24,36]",0.0499150204597662,-300,2350
"379","(36,48]",0.0740568688206866,-300,2350
"380","(48,60]",0.0666221399912641,-300,2350
"381","(12,24]",0.0275156497092685,-300,2375
"382","(24,36]",0.0502695784855835,-300,2375
"383","(36,48]",0.0751711533880445,-300,2375
"384","(48,60]",0.066876493099183,-300,2375
"385","(12,24]",0.0277138803860128,-300,2400
"386","(24,36]",0.0505303256443738,-300,2400
"387","(36,48]",0.0764752284107404,-300,2400
"388","(48,60]",0.0672729478500834,-300,2400
"389","(12,24]",0.0279778193810361,-300,2425
"390","(24,36]",0.0506097903163082,-300,2425
"391","(36,48]",0.0772645826127251,-300,2425
"392","(48,60]",0.0686733620498425,-300,2425
"393","(12,24]",0.031115739988098,-300,2450
"394","(24,36]",0.0513712439557704,-300,2450
"395","(36,48]",0.0665955786858579,-300,2450
"396","(48,60]",0.0699656980736554,-300,2450
"397","(12,24]",0.0315502011376917,-300,2475
"398","(24,36]",0.0505560091159527,-300,2475
"399","(36,48]",0.0678896238462832,-300,2475
"400","(48,60]",0.0711836350563605,-300,2475
"401","(12,24]",0.0264718615828951,-300,2500
"402","(24,36]",0.0505503099449284,-300,2500
"403","(36,48]",0.0686881028307889,-300,2500
"404","(48,60]",0.0692890441045702,-300,2500
"405","(12,24]",0.0267724747381362,-300,2525
"406","(24,36]",0.0516055354880089,-300,2525
"407","(36,48]",0.0696540017507523,-300,2525
"408","(48,60]",0.0702576451421349,-300,2525
"409","(12,24]",0.0264340483053271,-300,2550
"410","(24,36]",0.0524341805136983,-300,2550
"411","(36,48]",0.0706588380275506,-300,2550
"412","(48,60]",0.0704746756783124,-300,2550
"413","(12,24]",0.0255951725674654,-300,2575
"414","(24,36]",0.0521193852066474,-300,2575
"415","(36,48]",0.0720124729848636,-300,2575
"416","(48,60]",0.071589829347495,-300,2575
"417","(12,24]",0.0259808458250122,-300,2600
"418","(24,36]",0.0524160432461744,-300,2600
"419","(36,48]",0.0748993608634955,-300,2600
"420","(48,60]",0.0730822089975791,-300,2600
"421","(12,24]",0.0268034344617062,-300,2625
"422","(24,36]",0.0527882615669604,-300,2625
"423","(36,48]",0.0755346517542417,-300,2625
"424","(48,60]",0.0748398016872229,-300,2625
"425","(12,24]",0.0256749977359287,-300,2650
"426","(24,36]",0.0530614797083571,-300,2650
"427","(36,48]",0.0760940839396714,-300,2650
"428","(48,60]",0.0774003968510865,-300,2650
"429","(12,24]",0.0260573433984174,-300,2675
"430","(24,36]",0.05339610849585,-300,2675
"431","(36,48]",0.0767636341366055,-300,2675
"432","(48,60]",0.0816677544369792,-300,2675
"433","(12,24]",0.0284963284188862,-300,2700
"434","(24,36]",0.0536937094594502,-300,2700
"435","(36,48]",0.0774454413849134,-300,2700
"436","(48,60]",0.0812971486797019,-300,2700
"437","(12,24]",0.0288907256808538,-300,2725
"438","(24,36]",0.0540357497460008,-300,2725
"439","(36,48]",0.0781387200517385,-300,2725
"440","(48,60]",0.0817028952795716,-300,2725
"441","(12,24]",0.0293826168323956,-300,2750
"442","(24,36]",0.0545259232501034,-300,2750
"443","(36,48]",0.0787089932281329,-300,2750
"444","(48,60]",0.082435234655485,-300,2750
"445","(12,24]",0.0293589466675077,-300,2775
"446","(24,36]",0.0548192082128613,-300,2775
"447","(36,48]",0.0787713834281563,-300,2775
"448","(48,60]",0.0830902833228381,-300,2775
"449","(12,24]",0.0293922889933767,-300,2800
"450","(24,36]",0.0553899727140818,-300,2800
"451","(36,48]",0.0795120280622557,-300,2800
"452","(48,60]",0.0837947187829056,-300,2800
"453","(12,24]",0.0292405928591243,-300,2825
"454","(24,36]",0.0554525379789741,-300,2825
"455","(36,48]",0.0802288649801102,-300,2825
"456","(48,60]",0.0848593805099593,-300,2825
"457","(12,24]",0.030620360862144,-300,2850
"458","(24,36]",0.0558629718903063,-300,2850
"459","(36,48]",0.0809411450706509,-300,2850
"460","(48,60]",0.0855593457252947,-300,2850
"461","(12,24]",0.0320400123320883,-300,2875
"462","(24,36]",0.0551075298068574,-300,2875
"463","(36,48]",0.0814991995459157,-300,2875
"464","(48,60]",0.0861419543071754,-300,2875
"465","(12,24]",0.0322041259356702,-300,2900
"466","(24,36]",0.0558929143439046,-300,2900
"467","(36,48]",0.0823028500755838,-300,2900
"468","(48,60]",0.0870662441848558,-300,2900
"469","(12,24]",0.0335346576719494,-300,2925
"470","(24,36]",0.0592681620413501,-300,2925
"471","(36,48]",0.083099486896812,-300,2925
"472","(48,60]",0.0881685787560402,-300,2925
"473","(12,24]",0.0338257078736292,-300,2950
"474","(24,36]",0.0593203185370059,-300,2950
"475","(36,48]",0.0840671133338284,-300,2950
"476","(48,60]",0.0888735124155185,-300,2950
"477","(12,24]",0.0330203711427993,-300,2975
"478","(24,36]",0.0595550591754573,-300,2975
"479","(36,48]",0.0849432821743784,-300,2975
"480","(48,60]",0.0896484112262632,-300,2975
"481","(12,24]",0.033132460641344,-300,3000
"482","(24,36]",0.059822622499592,-300,3000
"483","(36,48]",0.0859093077893368,-300,3000
